nodes,rho,network,beta,lambda,factor,physical_infectivity,hidden_infectivity,aware,infected
100,0.2,barabassi,0.2,0.1,0.01,0.0,0.2,0.9403225806451613,0.7729032258064514
100,0.2,barabassi,0.2,0.2,0.01,0.0,0.2,0.9554838709677415,0.7916129032258066
100,0.2,barabassi,0.2,0.3,0.01,0.0,0.2,0.9590322580645159,0.7419354838709673
100,0.2,barabassi,0.2,0.4,0.01,0.0,0.2,0.957096774193548,0.7829032258064516
100,0.2,barabassi,0.2,0.5,0.01,0.0,0.2,0.9541935483870967,0.7561290322580649
100,0.2,barabassi,0.2,0.6,0.01,0.0,0.2,0.9564516129032256,0.7619354838709677
100,0.2,barabassi,0.2,0.7,0.01,0.0,0.2,0.9635483870967743,0.8009677419354836
100,0.2,barabassi,0.2,0.8,0.01,0.0,0.2,0.9529032258064515,0.7974193548387097
100,0.2,barabassi,0.2,0.9,0.01,0.0,0.2,0.9587096774193545,0.7780645161290324
100,0.2,barabassi,0.2,1.0,0.01,0.0,0.2,0.9609677419354838,0.7445161290322582
100,0.2,barabassi,0.3,0.0,0.01,0.0,0.2,0.9635483870967739,0.7887096774193549
100,0.2,barabassi,0.3,0.1,0.01,0.0,0.2,0.9670967741935484,0.8225806451612908
100,0.2,barabassi,0.3,0.2,0.01,0.0,0.2,0.9654838709677418,0.7758064516129031
100,0.2,barabassi,0.3,0.3,0.01,0.0,0.2,0.9680645161290323,0.7674193548387095
100,0.2,barabassi,0.3,0.4,0.01,0.0,0.2,0.9654838709677419,0.8103225806451613
100,0.2,barabassi,0.3,0.5,0.01,0.0,0.2,0.9690322580645161,0.7687096774193553
